"FIPS","Admin2","Province_State","Country_Region","Last_Update","Lat","Long_","Confirmed","Deaths","Recovered","Active","Combined_Key","Incidence_Rate","Case.Fatality_Ratio"
44005,"Newport","Rhode Island","US","2020-09-12",41.5642026,-71.26569799,476,0,0,476,"Newport, Rhode Island, US",579.907896981068,0
44007,"Providence","Rhode Island","US","2020-09-12",41.87064746,-71.57753536,17500,0,0,17500,"Providence, Rhode Island, US",2738.94990225862,0
90044,"Unassigned","Rhode Island","US","2020-09-12",NA,NA,2081,1071,0,1010,"Unassigned, Rhode Island, US",NA,51.4656415185007
44009,"Washington","Rhode Island","US","2020-09-12",41.45961631,-71.61435303,733,0,0,733,"Washington, Rhode Island, US",583.705614881706,0
51001,"Accomack","Virginia","US","2020-09-12",37.76707161,-75.63234615,1158,19,0,1139,"Accomack, Virginia, US",3583.36427775715,1.64075993091537
51003,"Albemarle","Virginia","US","2020-09-12",38.02080697,-78.55481085,1122,19,0,1103,"Albemarle, Virginia, US",1026.25080032928,1.69340463458111
51510,"Alexandria","Virginia","US","2020-09-12",38.814003,-77.08183073,3577,62,0,3515,"Alexandria, Virginia, US",2243.6460345736,1.73329605814929
51005,"Alleghany","Virginia","US","2020-09-12",37.78636074,-80.00222498,75,4,0,71,"Alleghany, Virginia, US",504.710632570659,5.33333333333333
51007,"Amelia","Virginia","US","2020-09-12",37.34081025,-77.98584649,115,3,0,112,"Amelia, Virginia, US",874.857360213009,2.60869565217391
51009,"Amherst","Virginia","US","2020-09-12",37.60308293,-79.14548696,333,1,0,332,"Amherst, Virginia, US",1053.63075462743,0.3003003003003
51011,"Appomattox","Virginia","US","2020-09-12",37.37569884,-78.81340003,190,1,0,189,"Appomattox, Virginia, US",1194.14241719565,0.526315789473684
51013,"Arlington","Virginia","US","2020-09-12",38.8767675,-77.10139853,3700,144,0,3556,"Arlington, Virginia, US",1562.22291654352,3.89189189189189
51015,"Augusta","Virginia","US","2020-09-12",38.16404586,-79.12461614,414,4,0,410,"Augusta, Virginia, US",547.923449535456,0.966183574879227
51017,"Bath","Virginia","US","2020-09-12",38.05852573,-79.73912095,4,0,0,4,"Bath, Virginia, US",96.455268869062,0
51019,"Bedford","Virginia","US","2020-09-12",37.3080028,-79.5281964,650,9,0,641,"Bedford, Virginia, US",822.816056305936,1.38461538461538
51021,"Bland","Virginia","US","2020-09-12",37.13128068,-81.13599391,64,1,0,63,"Bland, Virginia, US",1019.10828025478,1.5625
51023,"Botetourt","Virginia","US","2020-09-12",37.55531756,-79.80982182,272,10,0,262,"Botetourt, Virginia, US",813.908255782639,3.67647058823529
51520,"Bristol","Virginia","US","2020-09-12",36.6163024,-82.16359122,153,2,0,151,"Bristol, Virginia, US",912.778904665314,1.30718954248366
51025,"Brunswick","Virginia","US","2020-09-12",36.76366949,-77.8593436,326,2,0,324,"Brunswick, Virginia, US",2008.50224878319,0.613496932515337
51027,"Buchanan","Virginia","US","2020-09-12",37.26818323,-82.03749726,107,2,0,105,"Buchanan, Virginia, US",509.426775852219,1.86915887850467
51029,"Buckingham","Virginia","US","2020-09-12",37.57242268,-78.52518834,665,8,0,657,"Buckingham, Virginia, US",3878.00326568696,1.20300751879699
51530,"Buena Vista","Virginia","US","2020-09-12",37.73484642,-79.35296097,77,1,0,76,"Buena Vista, Virginia, US",1188.63846866317,1.2987012987013
51031,"Campbell","Virginia","US","2020-09-12",37.20553386,-79.09678609,366,3,0,363,"Campbell, Virginia, US",666.848865810331,0.819672131147541
51033,"Caroline","Virginia","US","2020-09-12",38.02679129,-77.34901405,290,5,0,285,"Caroline, Virginia, US",943.856794141579,1.72413793103448
51035,"Carroll","Virginia","US","2020-09-12",36.73066666,-80.73455942,452,19,0,433,"Carroll, Virginia, US",1517.23674935383,4.20353982300885
51036,"Charles City","Virginia","US","2020-09-12",37.35358063,-77.05634116,76,5,0,71,"Charles City, Virginia, US",1091.48355593853,6.57894736842105
51037,"Charlotte","Virginia","US","2020-09-12",37.01909701,-78.66314092,95,0,0,95,"Charlotte, Virginia, US",799.6632996633,0
51540,"Charlottesville","Virginia","US","2020-09-12",38.03527919,-78.48569588,867,24,0,843,"Charlottesville, Virginia, US",1834.2994964668,2.7681660899654
51550,"Chesapeake","Virginia","US","2020-09-12",36.67670048,-76.30545744,4026,49,0,3977,"Chesapeake, Virginia, US",1644.37274082545,1.21708892200695
51041,"Chesterfield","Virginia","US","2020-09-12",37.37373208,-77.5868014,5450,85,0,5365,"Chesterfield, Virginia, US",1544.77582326631,1.55963302752294
51043,"Clarke","Virginia","US","2020-09-12",39.11271747,-77.99199425,86,0,0,86,"Clarke, Virginia, US",588.275531842123,0
51570,"Colonial Heights","Virginia","US","2020-09-12",37.26420587,-77.39609676,237,23,0,214,"Colonial Heights, Virginia, US",1364.42141623489,9.70464135021097
51580,"Covington","Virginia","US","2020-09-12",37.7824656,-79.98631446,29,0,0,29,"Covington, Virginia, US",523.654749006862,0
51045,"Craig","Virginia","US","2020-09-12",37.48133648,-80.21072274,25,0,0,25,"Craig, Virginia, US",487.234457220815,0
51047,"Culpeper","Virginia","US","2020-09-12",38.48199985,-77.9563087,1150,14,0,1136,"Culpeper, Virginia, US",2186.10398251117,1.21739130434783
51049,"Cumberland","Virginia","US","2020-09-12",37.51328851,-78.24398086,102,0,0,102,"Cumberland, Virginia, US",1026.98348771647,0
51590,"Danville","Virginia","US","2020-09-12",36.58022376,-79.40395668,716,17,0,699,"Danville, Virginia, US",1788.03316352013,2.37430167597765
51051,"Dickenson","Virginia","US","2020-09-12",37.12560977,-82.35124171,76,1,0,75,"Dickenson, Virginia, US",530.800391116078,1.31578947368421
51053,"Dinwiddie","Virginia","US","2020-09-12",37.07544585,-77.63451754,330,8,0,322,"Dinwiddie, Virginia, US",1156.10986547085,2.42424242424242
51595,"Emporia","Virginia","US","2020-09-12",36.69455571,-77.53406129,242,19,0,223,"Emporia, Virginia, US",4526.74897119342,7.85123966942149
51057,"Essex","Virginia","US","2020-09-12",37.93357639,-76.94230311,159,2,0,157,"Essex, Virginia, US",1451.65708025199,1.25786163522013
51059,"Fairfax","Virginia","US","2020-09-12",38.83677558,-77.27565836,19359,567,0,18792,"Fairfax, Virginia, US",1687.01177832078,2.92887029288703
51600,"Fairfax City","Virginia","US","2020-09-12",38.85157547,-77.2977964,127,7,0,120,"Fairfax City, Virginia, US",528.748074441068,5.51181102362205
51610,"Falls Church","Virginia","US","2020-09-12",38.88485255,-77.17560759,67,7,0,60,"Falls Church, Virginia, US",458.370390641034,10.4477611940299
51061,"Fauquier","Virginia","US","2020-09-12",38.73564842,-77.80647472,838,21,0,817,"Fauquier, Virginia, US",1176.60273510994,2.50596658711217
51063,"Floyd","Virginia","US","2020-09-12",36.9302126,-80.36738849,172,3,0,169,"Floyd, Virginia, US",1092.13283383072,1.74418604651163
51065,"Fluvanna","Virginia","US","2020-09-12",37.84157909,-78.27715475,242,9,0,233,"Fluvanna, Virginia, US",887.422075540887,3.71900826446281
51067,"Franklin","Virginia","US","2020-09-12",36.99536167,-79.88023649,194,1,0,193,"Franklin, Virginia, US",346.168944720031,0.515463917525773
51620,"Franklin City","Virginia","US","2020-09-12",36.6831435,-76.93859681,360,7,0,353,"Franklin City, Virginia, US",4518.63938747333,1.94444444444444
51069,"Frederick","Virginia","US","2020-09-12",39.20172582,-78.25974949,806,11,0,795,"Frederick, Virginia, US",902.444213048492,1.36476426799007
51630,"Fredericksburg","Virginia","US","2020-09-12",38.2977863,-77.4922454,508,4,0,504,"Fredericksburg, Virginia, US",1749.55227992836,0.78740157480315
51640,"Galax","Virginia","US","2020-09-12",36.66601852,-80.91703124,403,28,0,375,"Galax, Virginia, US",6349.45643611155,6.94789081885856
51071,"Giles","Virginia","US","2020-09-12",37.31234791,-80.70636931,65,0,0,65,"Giles, Virginia, US",388.755980861244,0
51073,"Gloucester","Virginia","US","2020-09-12",37.40809042,-76.53524337,218,2,0,216,"Gloucester, Virginia, US",583.699261004605,0.917431192660551
51075,"Goochland","Virginia","US","2020-09-12",37.71714806,-77.90381514,241,7,0,234,"Goochland, Virginia, US",1014.60868100871,2.9045643153527
51077,"Grayson","Virginia","US","2020-09-12",36.65677234,-81.23215889,269,8,0,261,"Grayson, Virginia, US",1729.90353697749,2.97397769516729
51079,"Greene","Virginia","US","2020-09-12",38.29545894,-78.46525378,207,3,0,204,"Greene, Virginia, US",1044.45229325395,1.44927536231884
51081,"Greensville","Virginia","US","2020-09-12",36.67878901,-77.56351439,732,11,0,721,"Greensville, Virginia, US",6457.30416372618,1.50273224043716
